[ERROR] index=70003, id=253393978, error=HTTP 404
[ERROR] index=70073, id=252600332, error=HTTP 404
[ERROR] index=70075, id=213842276, error=HTTP 404
[ERROR] index=70091, id=253591416, error=HTTP 404
[ERROR] index=70103, id=195953108, error=HTTP 404
[ERROR] index=70113, id=262704584, error=HTTP 404
[ERROR] index=70154, id=58989336, error=HTTP 429
[ERROR] index=70175, id=75634528, error=HTTP 429
[ERROR] index=70279, id=254186639, error=HTTP 404
[ERROR] index=70301, id=261813249, error=HTTP 404
[ERROR] index=70306, id=205303508, error=HTTP 404
[ERROR] index=70319, id=196332540, error=HTTP 404
[ERROR] index=70366, id=205172565, error=HTTP 404
[ERROR] index=70397, id=202782564, error=HTTP 404
[ERROR] index=70449, id=207889784, error=HTTP 429
[ERROR] index=70522, id=134632650, error=HTTP 404
[ERROR] index=70544, id=216459816, error=HTTP 404
[ERROR] index=70560, id=212212409, error=HTTP 404
[ERROR] index=70612, id=172120330, error=HTTP 429
[ERROR] index=70613, id=69161820, error=HTTP 429
[ERROR] index=70615, id=217103048, error=HTTP 429
[ERROR] index=70617, id=166120677, error=HTTP 429
[ERROR] index=70621, id=130441118, error=HTTP 429
[ERROR] index=70623, id=1581433, error=HTTP 429
[ERROR] index=70835, id=252132585, error=HTTP 404
[ERROR] index=70843, id=180576324, error=HTTP 404
[ERROR] index=70857, id=248361222, error=HTTP 404
[ERROR] index=70946, id=96300944, error=HTTP 404
[ERROR] index=70960, id=107049538, error=HTTP 404
